customer_id,city,segment,signup_date
C0154,Казань,Новый,2024-06-02
C0155,Казань,Постоянный,2024-11-16
C0156,Новосибирск,Постоянный,2024-09-02
C0157,Казань,Постоянный,2024-06-13
C0158,Москва,Постоянный,2025-01-27
C0160,Екатеринбург,Новый,2024-12-20
C0161,Новосибирск,Новый,2025-01-08
C0162,Казань,Новый,2025-01-31
C0163,Новосибирск,VIP,2024-06-04
C0164,Москва,Новый,2024-12-07
C0165,Екатеринбург,VIP,2024-12-10
C0166,Казань,Новый,2024-12-09
C0167,Москва,Новый,2024-08-04
C0168,Москва,VIP,2024-09-04
C0169,Екатеринбург,Постоянный,2025-01-14
C0170,Новосибирск,Новый,2024-06-17
C0171,Новосибирск,Новый,2024-11-05
C0172,Москва,Новый,2024-12-12
C0173,Новосибирск,Новый,2024-12-13
C0174,Новосибирск,Новый,2024-10-25
C0175,Казань,Постоянный,2024-12-05
C0176,Санкт-Петербург,Новый,2025-01-09
C0177,Санкт-Петербург,Новый,2024-12-05
C0179,Москва,Новый,2024-06-29
C0180,Новосибирск,Новый,2024-07-30
C0181,Екатеринбург,VIP,2024-08-14
C0182,Санкт-Петербург,Новый,2024-08-24
C0183,Екатеринбург,Новый,2024-08-28
C0184,Казань,Постоянный,2024-07-24
C0185,Москва,VIP,2024-11-15
C0186,Новосибирск,Постоянный,2024-06-28
C0187,Екатеринбург,Постоянный,2024-12-10
C0188,Москва,VIP,2024-11-09
C0189,Москва,Постоянный,2025-01-22
C0190,Санкт-Петербург,VIP,2024-06-02
C0191,Москва,Новый,2024-08-12
C0192,Санкт-Петербург,Постоянный,2025-01-07
C0193,Москва,VIP,2024-09-29
C0195,Казань,VIP,2024-10-16
C0196,Новосибирск,Новый,2024-06-08
C0197,Санкт-Петербург,Постоянный,2024-12-04
C0198,Екатеринбург,Новый,2024-08-01
C0200,Москва,Постоянный,2025-01-22
C0201,Новосибирск,Новый,2024-08-31
C0202,Екатеринбург,Постоянный,2024-07-17
C0203,Казань,Постоянный,2024-10-24
C0204,Санкт-Петербург,Новый,2024-09-25
C0205,Новосибирск,Новый,2024-09-24
C0208,Екатеринбург,Новый,2025-01-19
C0209,Екатеринбург,Постоянный,2024-08-29
C0210,Москва,Постоянный,2024-09-06
C0212,Казань,Постоянный,2024-10-31
C0213,Санкт-Петербург,Новый,2024-07-12
C0214,Санкт-Петербург,Постоянный,2024-12-21
C0215,Москва,Постоянный,2024-07-27
C0216,Москва,Новый,2024-07-30
C0217,Санкт-Петербург,Новый,2024-06-03
C0218,Москва,Новый,2024-08-24
C0219,Екатеринбург,Новый,2024-10-21
C0220,Новосибирск,Новый,2024-11-20
C0221,Санкт-Петербург,Новый,2025-01-07
C0222,Новосибирск,Новый,2024-12-08
C0223,Екатеринбург,Новый,2024-08-18
C0224,Москва,Новый,2024-12-20
C0225,Санкт-Петербург,Постоянный,2024-07-18
C0226,Казань,Постоянный,2024-07-22
C0227,Москва,Новый,2024-08-27
C0228,Казань,Постоянный,2024-10-11
C0229,Казань,Постоянный,2024-07-20
C0230,Санкт-Петербург,Новый,2025-01-07
C0231,Санкт-Петербург,Новый,2024-08-06
C0232,Санкт-Петербург,Новый,2024-09-05
C0233,Новосибирск,Постоянный,2024-10-27
C0234,Санкт-Петербург,Новый,2024-09-14
C0235,Екатеринбург,Новый,2024-09-07
C0236,Санкт-Петербург,Постоянный,2025-01-28
C0237,Казань,VIP,2024-09-15
C0238,Казань,Новый,2024-06-28
C0239,Новосибирск,Постоянный,2024-11-26
C0240,Новосибирск,Новый,2024-11-20
C0241,Москва,Постоянный,2024-07-24
C0242,Москва,Постоянный,2024-12-26
C0243,Новосибирск,Постоянный,2024-09-05
C0244,Новосибирск,Новый,2024-07-07
C0245,Санкт-Петербург,Новый,2024-07-13
C0246,Москва,Постоянный,2024-11-23
C0247,Казань,Новый,2024-07-23
C0248,Новосибирск,VIP,2024-09-24
C0249,Новосибирск,Новый,2024-11-27
C0250,Новосибирск,Новый,2024-12-26
C0251,Новосибирск,Новый,2024-09-28
C0252,Екатеринбург,Новый,2025-01-09
C0253,Екатеринбург,Постоянный,2024-08-14
C0254,Новосибирск,Новый,2024-12-31
C0255,Москва,Постоянный,2024-08-01
C0257,Казань,Постоянный,2024-06-16
C0258,Санкт-Петербург,VIP,2024-11-25
C0259,Москва,Постоянный,2024-12-03
C0260,Москва,VIP,2025-01-13
C0261,Екатеринбург,VIP,2025-01-12
C0262,Санкт-Петербург,Новый,2024-06-26
C0263,Москва,VIP,2024-10-31
C0264,Казань,VIP,2024-11-20
C0265,Санкт-Петербург,Новый,2024-10-26
C0266,Казань,Постоянный,2024-06-05
C0267,Казань,Новый,2024-06-12
C0268,Москва,Постоянный,2024-11-12
C0269,Екатеринбург,Новый,2024-12-27
C0270,Екатеринбург,Постоянный,2024-07-14
C0271,Москва,Новый,2024-06-12
C0272,Санкт-Петербург,Постоянный,2024-09-07
C0274,Новосибирск,Новый,2024-08-16
C0275,Москва,Постоянный,2025-01-27
C0276,Екатеринбург,Новый,2025-01-13
C0277,Санкт-Петербург,Постоянный,2024-10-15
C0278,Казань,Новый,2025-01-19
C0279,Казань,Новый,2024-07-27
C0280,Екатеринбург,Новый,2025-01-30
C0281,Москва,VIP,2024-09-18
C0282,Москва,Новый,2024-09-25
C0283,Москва,Постоянный,2024-06-13
C0284,Новосибирск,Новый,2024-07-14
C0285,Екатеринбург,Постоянный,2024-07-18
C0286,Москва,Новый,2024-09-28
C0287,Екатеринбург,Новый,2024-07-17
C0288,Москва,Новый,2024-06-26
C0289,Санкт-Петербург,Новый,2024-10-27
C0290,Новосибирск,Новый,2024-12-31
C0291,Казань,Новый,2024-06-18
C0292,Екатеринбург,Постоянный,2024-10-16
C0293,Новосибирск,VIP,2025-01-22
C0294,Москва,Новый,2024-09-08
C0297,Санкт-Петербург,VIP,2024-07-15
C0298,Екатеринбург,Новый,2024-06-20
C0299,Москва,Новый,2025-01-16
